PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Zhang, Yu; Huang, Min; Tian, Lin; Jin, Delong; Cai, Gangshu(George)								Build or join a sharing platform? The choice of manufacturer's sharing mode								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				231						107811	10.1016/j.ijpe.2020.107811				JAN 2021	2021										0	0	0	0	0	0	0			0925-5273	1873-7579		WOS:000598125400001		
J	Yang, Hongmei; Wang, Wei								Endogenous Third-Degree Price Discrimination in a Supply Chain with One Common Manufacturer and Duopoly Retailers								DISCRETE DYNAMICS IN NATURE AND SOCIETY				2020						6642711	10.1155/2020/6642711				DEC 23 2020	2020										0	0	0	0	0	0	0			1026-0226	1607-887X		WOS:000607833300002		
J	Yenipazarli, Arda								The marketplace dilemma: Selling to the marketplace vs. selling on the marketplace								NAVAL RESEARCH LOGISTICS											10.1002/nav.21964		DEC 2020			2020										0	0	0	0	0	0	0			0894-069X	1520-6750		WOS:000597759300001		
J	Xu, Qingyun; Shao, Zhen; He, Yi								Optimal delivery strategies for packing box recycling in online platforms								JOURNAL OF CLEANER PRODUCTION				276						124273	10.1016/j.jclepro.2020.124273				DEC 10 2020	2020										1	0	0	0	0	0	1			0959-6526	1879-1786		WOS:000579500800219		
J	Yu, Yugang; Wang, Yanjun; Liu, Yan								Product quality and quantity with responsive pricing								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH											10.1080/00207543.2020.1836418		OCT 2020			2020										0	0	0	0	0	0	0			0020-7543	1366-588X		WOS:000584178200001		
J	Xu, Yang; Song, Wen; Bi, Gong-bing								The roles of crowdfunding: financing, point provision and ex-post production								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH											10.1080/00207543.2020.1832277		OCT 2020			2020										0	0	0	0	0	0	0			0020-7543	1366-588X		WOS:000583498800001		
J	Katuk, Norliza; Ku-Mahamud, Ku Ruhana; Zakaria, Nur Haryani; Jabbar, Ayad Mohammed				Katuk, Norliza/G-7736-2012	Katuk, Norliza/0000-0001-8805-2574			A SCIENTOMETRIC ANALYSIS OF THE EMERGING TOPICS IN GENERAL COMPUTER SCIENCE								JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY-MALAYSIA				19	4			583	622						OCT 2020	2020										0	0	0	0	0	0	0			1675-414X	2180-3862		WOS:000587721900006		
J	Nikoofal, Mohammad E.; Gumus, Mehmet					Nikoofal, Mohammad Ebrahim/0000-0002-2487-7187			Value of audit for supply chains with hidden action and information								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				285	3			902	915		10.1016/j.ejor.2020.02.024				SEP 16 2020	2020										1	0	0	0	0	0	1			0377-2217	1872-6860		WOS:000528798100007		
J	Guan, Zhimin; Ye, Tong; Yin, Rui								Channel coordination under Nash bargaining fairness concerns in differential games of goodwill accumulation								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				285	3			916	930		10.1016/j.ejor.2020.02.028				SEP 16 2020	2020										10	0	0	0	2	0	10			0377-2217	1872-6860		WOS:000528798100008		
J	He, Bo; Mirchandani, Prakash; Wang, Yong								Removing barriers for grocery stores: O2O platform and self-scheduling delivery capacity								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				141						102036	10.1016/j.tre.2020.102036				SEP 2020	2020										0	0	0	0	0	0	0			1366-5545			WOS:000571530000006		
