PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Yang, Donghui; Wang, Yan; Mei, Shue								How to balance online healthcare platforms and offline systems? A supply chain management perspective								MANAGERIAL AND DECISION ECONOMICS				42	2			502	515		10.1002/mde.3250		OCT 2020		MAR 2021	2021										0	0	0	0	0	0	0			0143-6570	1099-1468		WOS:000581136600001		
J	Bart, Nelly; Chernonog, Tatyana; Avinadav, Tal					Chernonog, Tatyana/0000-0002-8138-5007; Avinadav, Tal/0000-0002-7519-2946			Revenue-sharing contracts in supply chains: a comprehensive literature review								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH											10.1080/00207543.2020.1821929		SEP 2020			2020										2	0	0	0	0	0	2			0020-7543	1366-588X		WOS:000573144400001		
J	Lou, Yaqi; Feng, Lipan; He, Shuguang; He, Zhen; Zhao, Xiukun								Logistics service outsourcing choices in a retailer-led supply chain								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				141						101944	10.1016/j.tre.2020.101944				SEP 2020	2020										0	0	0	0	0	0	0			1366-5545			WOS:000571895300011		
J	Liu, Yi; Chen, Daniel Q.; Gao, Wei								How does customer orientation (in)congruence affect B2B electronic commerce platform firms' performance?								INDUSTRIAL MARKETING MANAGEMENT				87				18	30		10.1016/j.indmarman.2020.02.027				MAY 2020	2020										0	0	0	0	0	0	0			0019-8501	1873-2062		WOS:000552765700003		
J	Wu, Tian; Zhang, Mengbo; Tian, Xin; Wang, Shouyang; Hua, Guowei					Wu, Tian/0000-0002-5557-7232; Tian, Xin/0000-0001-5706-2390; Wang, Shouyang/0000-0001-5773-998X			Spatial differentiation and network externality in pricing mechanism of online car hailing platform								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				219				275	283		10.1016/j.ijpe.2019.05.007				JAN 2020	2020										10	0	0	0	1	0	10			0925-5273	1873-7579		WOS:000504505100022		
J	Zhang, Li-Hao; Yang, Huixiao								Incentives for RFID adoption with imperfect read rates: Wholesale price premium versus cost sharing								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				70	9			1440	1456		10.1080/01605682.2018.1506252				SEP 2 2019	2019										2	0	0	0	0	0	2			0160-5682	1476-9360		WOS:000477658200004		
J	Nie, Jiajia; Zhong, Ling; Yan, Hong; Yang, Wenjuan								Retailers' distribution channel strategies with cross-channel effect in a competitive market								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				213				32	45		10.1016/j.ijpe.2018.12.019				JUL 2019	2019										11	0	0	0	1	0	11			0925-5273	1873-7579		WOS:000470945300004		
J	Li, Zhenhong; Li, Bo; Lan, Yanfei; He, Yulin								Uncertain principal-agent models for providing information service with moral hazards								JOURNAL OF INTELLIGENT & FUZZY SYSTEMS				35	3			3321	3332		10.3233/JIFS-172017				2018	2018										3	0	0	0	0	0	3			1064-1246	1875-8967		WOS:000446239400068		
