PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Wu, Zhihui; Chen, Dongyan								New Optimal-Control-Based Advertising Strategies and Coordination of a Supply Chain With Differentiated Products Under Consignment Contract								IEEE ACCESS				7				170703	170714		10.1109/ACCESS.2019.2956287				2019	2019										0	0	0	0	0	0	0			2169-3536			WOS:000596494200001		
J	Wu, Zhihui								Optimal Control Approach to Advertising Strategies of a Supply Chain Under Consignment Contract								IEEE ACCESS				7				41454	41462		10.1109/ACCESS.2019.2907778				2019	2019										7	0	0	0	0	0	7			2169-3536			WOS:000464448400001		
J	Li, Wenfei; Liu, Yankui; Chen, Yanju								Modeling a two-stage supply contract problem in a hybrid uncertain environment								COMPUTERS & INDUSTRIAL ENGINEERING				123				289	302		10.1016/j.cie.2018.06.031				SEP 2018	2018										4	0	0	0	0	0	4			0360-8352	1879-0550		WOS:000441489900023		
J	Hu, Benyong; Meng, Chao; Xu, Dong; Son, Young-Jun								Supply chain coordination under vendor managed inventory-consignment stocking contracts with wholesale price constraint and fairness								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				202				21	31		10.1016/j.ijpe.2018.05.009				AUG 2018	2018										13	2	0	0	1	0	15			0925-5273	1873-7579		WOS:000438479800003		
J	Xie, Yong; Wang, Hongwei; Lu, Hui				wang, hongwei/G-3843-2013	wang, hongwei/0000-0002-6206-7353			Coordination of Supply Chains With a Retailer Under the Mean-CVaR Criterion								IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS				48	7			1039	1053		10.1109/TSMC.2016.2636153				JUL 2018	2018										8	0	0	0	0	0	8			2168-2216			WOS:000435339300002		
J	Zhang, YuHang; Wang, Ying								Competition and Coordination in a Dual-Channel Supply Chain With Asymmetric Retailers								INTERNATIONAL JOURNAL OF ENTERPRISE INFORMATION SYSTEMS				14	2			98	115		10.4018/IJEIS.2018040107				APR-JUN 2018	2018										1	0	0	0	0	0	1			1548-1115	1548-1123		WOS:000431084700007		
J	Chin, Amita Goyal; Harris, Mark A.; Brookshire, Robert				Brookshire, Robert/R-4327-2019; Harris, Mark/AAD-4685-2021	Brookshire, Robert/0000-0001-5953-8137			A bidirectional perspective of trust and risk in determining factors that influence mobile app installation								INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT				39				49	59		10.1016/j.ijinfomgt.2017.11.010				APR 2018	2018										18	0	0	0	0	0	18			0268-4012	1873-4707		WOS:000427763900006		
J	Wu, Zhihui; Feng, Lichao; Chen, Dongyan								Coordinating Pricing and Advertising Decisions for Supply Chain under Consignment Contract in the Dynamic Setting								COMPLEXITY										7697180	10.1155/2018/7697180				2018	2018										5	0	0	0	1	0	5			1076-2787	1099-0526		WOS:000445548600001		
J	Li, Zhenhong; Li, Bo; Lan, Yanfei								Contract design on digital platform for the risk-averse retailer with moral hazard: Wholesale price vs two-part tariff								KYBERNETES				47	4			716	741		10.1108/K-05-2017-0177				2018	2018										3	0	0	0	0	0	3			0368-492X	1758-7883		WOS:000427788600005		
J	Yang, Huixiao; Luo, Jianwen; Wang, Haijun				Wang, Haijun/M-5432-2017	Wang, Haijun/0000-0002-5401-6003			The role of revenue sharing and first-mover advantage in emission abatement with carbon tax and consumer environmental awareness								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				193				691	702		10.1016/j.ijpe.2017.08.032				NOV 2017	2017										35	2	0	0	1	0	37			0925-5273	1873-7579		WOS:000414814700057		
J	Avinadav, Tal; Chernonog, Tatyana; Perlman, Yael				Perlman, Yael/F-5110-2016	Perlman, Yael/0000-0002-3373-6669; Chernonog, Tatyana/0000-0002-8138-5007; Avinadav, Tal/0000-0002-7519-2946			Mergers and acquisitions between risk-averse parties								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				259	3			926	934		10.1016/j.ejor.2016.11.030				JUN 16 2017	2017										18	0	0	0	1	0	18			0377-2217	1872-6860		WOS:000395225500011		
J	Hu, Benyong; Feng, Yi								Optimization and coordination of supply chain with revenue sharing contracts and service requirement under supply and demand uncertainty								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				183				185	193		10.1016/j.ijpe.2016.11.002				JAN 2017	2017										52	2	0	0	2	0	54			0925-5273	1873-7579		WOS:000391899500015		
J	Dai, Yue; Chao, Xiuli								Price delegation and salesforce contract design with asymmetric risk aversion coefficient of sales agents								INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS				172				31	42		10.1016/j.ijpe.2015.11.006				FEB 2016	2016										7	1	0	0	0	0	8			0925-5273	1873-7579		WOS:000369213000003		
J	Rached, Mansour; Bahroun, Zied; Campagne, Jean-Pierre				Bahroun, Zied/F-6863-2019	Bahroun, Zied/0000-0003-2832-3672			Decentralised decision-making with information sharing vs. centralised decision-making in supply chains								INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH				54	24			7274	7295		10.1080/00207543.2016.1173255				2016	2016										15	0	0	0	0	0	15			0020-7543	1366-588X		WOS:000388938100002		
